ticket_id,description,service_category,resolution_steps,resolution_summary,kb_article_id,resolution_template_id,root_cause,tags
INC3801116,"Hello Support, Internal app shows blank page/503 intermittently. Started today. I'm in Chennai. This is impacting 'Printing'. Error seen: 0x80070005.. I already restarted my laptop, cleared cache but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Validated maintenance window and comms; Performed smoke tests post-change; Restored service and updated status page; Monitored KPIs for 60 minutes; Closed with change reference,Completed post-change validation and restored service availability.,KB0001902,RES-TPL-010,Network Flap,nan
INC3801368,"Hello Support, I'm facing an issue with the application and need help to resolve it. Started this morning. I'm in Delhi. This is impacting 'Identity'. Error seen: ERR_TIMEOUT.. I already tried a different browser, signed out and back in but the issue persists. Please help.",Identity & Access,Measured latency/jitter and packet loss; Failed over to healthy path; Adjusted QoS for critical apps; Opened ISP ticket with traces; Monitored trend for 24 hours,Failed over to healthier path and tuned QoS; latency improved.,KB0001801,RES-TPL-009,Network Flap,nan
INC3800422,"Hi Service Desk, VPN login loops and then times out. Started from home. I'm while working from home. This is impacting 'Payments DB'. Error seen: TLS_HANDSHAKE_FAIL.. I already restarted my laptop, signed out and back in but the issue persists. Please help.",Remote Access (VPN),Verified account status and MFA enrollment; Reset MFA and cleared cached VPN credentials; Updated VPN client and reimported profile; Validated time sync and TLS date/time; Confirmed successful connection and resource access,"Reset MFA, refreshed VPN profile, and verified successful authentication.",KB0001245,RES-TPL-001,User Error,kb-high-confidence
INC3800413,"Hi Team, App is non‑responsive; keeps timing out or shows service unavailable. Started from home. I'm while working from home. This is impacting 'Container Platform'. Error seen: AUTH_FAIL.. I already switched networks, cleared cache but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Validated maintenance window and comms; Performed smoke tests post-change; Restored service and updated status page; Monitored KPIs for 60 minutes; Closed with change reference,Completed post-change validation and restored service availability.,KB0001902,RES-TPL-010,Scheduled Change,kb-high-confidence
INC3800451,"Hello Support, App fails after upgrade—installer completes but the app won't start. Started post update. I'm in Mumbai. This is impacting 'Identity'. Error seen: TLS_HANDSHAKE_FAIL.. I already switched networks, signed out and back in but the issue persists. Please help.",Identity & Access,Captured installer logs; Rolled back to previous version; Applied hotfix; Retested core functions; Scheduled planned upgrade,"Rolled back upgrade, applied hotfix, retested; upgrade rescheduled.",KB0001411,RES-TPL-004,Software Bug,nan
INC3800861,"Hi Service Desk, App closes unexpectedly after a few seconds of use. Started post update. I'm in Chennai. This is impacting 'WAN'. Error seen: 0xCAA20002.. I already restarted my laptop, signed out and back in but the issue persists. Please help.",Database/App Backend,Captured crash logs and minidump; Rolled back problematic plugin; Increased memory limit and retry; Validated stability with soak test; Published fix notes,Rolled back faulty plugin and applied hotfix; app stable.,KB0001411,RES-TPL-004,Software Bug,sla-response-breach;kb-high-confidence
INC3801063,"Hi Team, Frequent timeouts while saving/reading records. Started this afternoon. I'm in Chennai. This is impacting 'Printing'. Error seen: ERR_TIMEOUT. Ref. I already cleared cache, switched networks but the issue persists. Please help.",Printing,Increased connection pool temporarily; Optimized hot queries and added missing indexes; Adjusted timeouts and enabled backoff; Load-tested critical paths; Finalized pool sizing and documented changes,Optimized queries and pool settings; timeouts eliminated.,KB0001502,RES-TPL-005,Capacity Exhaustion,nan
INC3800741,"Hi Team, VPN keeps asking for credentials and then fails to connect. Started this afternoon. I'm in Mumbai. This is impacting 'Remote Access'. Error seen: NDR 5.7.1.. I already tried a different browser, cleared cache but the issue persists. Please help.",Remote Access (VPN),Verified account status and MFA enrollment; Reset MFA and cleared cached VPN credentials; Updated VPN client and reimported profile; Validated time sync and TLS date/time; Confirmed successful connection and resource access,"Reset MFA, refreshed VPN profile, and verified successful authentication.",KB0001245,RES-TPL-001,Misconfiguration,kb-high-confidence
INC3801272,"Hello Support, Upgrade didn't go through properly; the app won't launch post‑update. Started after reboot. I'm in Mumbai. This is impacting 'Web Frontend'. Error seen: NDR 5.7.1.. I already switched networks, updated the app but the issue persists. Please help.",Browser/Portal (Cache/Compat/TLS),Captured installer logs; Rolled back to previous version; Applied hotfix; Retested core functions; Scheduled planned upgrade,"Rolled back upgrade, applied hotfix, retested; upgrade rescheduled.",KB0001411,RES-TPL-004,Software Bug,nan
INC3800259,"Hi Team, Permission error on SharePoint document library. Started from home. I'm while working from home. This is impacting 'Business App - BluePortal'. Error seen: TLS_HANDSHAKE_FAIL.. I already updated the app, switched networks but the issue persists. Please help.",Identity & Access,Reviewed site permissions; Updated group membership; Synced directory; Cleared cache; Validated access,Adjusted permissions and synced directory; user can access site.,KB0000100,RES-TPL-008,User Error,sla-response-breach;kb-high-confidence;auto-resolution-candidate
